04/01/2017 - 09:04:05 - talentm - Payment Amendement Old Amount=4300 New Amount 4192 |Stand = 633
04/01/2017 - 09:04:11 - talentm - Payment Amount=339 |Stand = 421
04/01/2017 - 09:04:28 - talentm - Balance Take Up Amount=1720 |Stand = 313
04/01/2017 - 09:04:28 - talentm - Balance Take Up Amount=5765.02 |Stand = 313
04/01/2017 - 09:04:07 - talentm - Payment Amount=237 |Stand = 313
04/01/2017 - 09:04:49 - talentm - Payment Amount=500 |Stand = 313
04/01/2017 - 09:04:54 - talentm - Balance Take Up Amount=1720 |Stand = 479
04/01/2017 - 09:04:54 - talentm - Balance Take Up Amount=5823.30 |Stand = 479
04/01/2017 - 09:04:54 - talentm - Payment Amount=236 |Stand = 479
04/01/2017 - 09:04:37 - talentm - Payment Amount=500 |Stand = 479
04/01/2017 - 09:04:22 - talentm - Payment Amendement Old Amount=5823 New Amount 5470.7 |Stand = 461
04/01/2017 - 10:04:04 - talentm - Payment Amendement Old Amount=5471 New Amount 5741 |Stand = 461
04/01/2017 - 10:04:19 - talentm - Balance Take Up Amount=2680 |Stand = 559
04/01/2017 - 10:04:19 - talentm - Balance Take Up Amount=9403 |Stand = 559
04/01/2017 - 10:04:34 - talentm - Payment Amount=100 |Stand = 559
04/01/2017 - 10:04:20 - talentm - Payment Amendement Old Amount=9403 New Amount 8103 |Stand = 437
04/01/2017 - 10:04:20 - talentm - Deleted All Payment  Cash 100 | Stand ID 437 | Description Balance_After_VAT | Payment Date 2017-04-01 10:05:34
04/01/2017 - 10:04:26 - talentm - Payment Amount=1300 |Stand = 559
04/01/2017 - 10:04:23 - talentm - Payment Amount=100 |Stand = 559
04/01/2017 - 10:04:47 - talentm - Balance Take Up Amount=2369 |Stand = 655
04/01/2017 - 10:04:47 - talentm - Balance Take Up Amount=2784 |Stand = 655
04/01/2017 - 10:04:49 - talentm - Payment Amount=108 |Stand = 655
04/01/2017 - 10:04:11 - talentm - Balance Take Up Amount=5005 |Stand = 279
